FID,XY,XY_ORG,LOCATIE_CODE,CREATED_BY,CREATED_DATE
locaties.162,POINT (566090.857711036 5746777.81805309),POINT (5670000 43200000),GOLFPL,HWS_DONAR_SGG,2021-03-11T14:59:02.492
locaties.163,POINT (572999.828826313 5743503.7546449),POINT (6350000 42850000),HARVSZBNNKT,HWS_DONAR_SGG,2021-03-11T14:59:37.15
locaties.164,POINT (572243.117464254 5742178.62632775),POINT (6270000 42720000),HARVSZBNZKT,HWS_DONAR_SGG,2021-03-11T14:59:59.47
locaties.165,POINT (633335.841426548 5805359.11101864),POINT (12585000 48835000),ORJSZWT,HWS_DONAR_SGG,2021-03-11T15:08:30.959
locaties.166,POINT (650486.05801058 5910448.93523162),POINT (14648097 59282397),SLENKZD,HWS_DONAR_SGG,2021-03-11T15:09:14.252
locaties.167,POINT (728038.368845367 5934637.80418659),POINT (22480000 61440000),SPRUIT,HWS_DONAR_SGG,2021-03-11T15:09:43.972
locaties.168,POINT (735282.433216888 5938242.21111502),POINT (23216000 61775800),SCHILDND,HWS_DONAR_SGG,2021-03-11T15:10:47.446
locaties.169,POINT (703559.669960967 5927144.43118964),POINT (20008600 60773400),ENGMPT,HWS_DONAR_SGG,2021-03-11T15:11:04.538
locaties.170,POINT (697298.863263049 5927055.32070688),POINT (19382600 60785500),AMLOT,HWS_DONAR_SGG,2021-03-11T15:11:42.251
locaties.171,POINT (731416.253188241 5928498.84853691),POINT (22796900 60815200),ROBBGT,HWS_DONAR_SGG,2021-03-11T15:11:44.793
locaties.172,POINT (700750.615487572 5924441.52744626),POINT (19718800 60512700),SMERGT,HWS_DONAR_SGG,2021-03-11T15:11:46.115
locaties.173,POINT (742748.109194064 5936789.42860048),POINT (23957100 61605500),HORSBZD,HWS_DONAR_SGG,2021-03-11T15:11:51.938
locaties.174,POINT (674488.653669227 5911277.58480891),POINT (17050000 59285000),ZWARTHN,HWS_DONAR_SGG,2021-03-11T15:12:14.168
locaties.175,POINT (760605.152860058 5924639.0627372),POINT (25700400 60331400),HONDND,HWS_DONAR_SGG,2021-03-11T15:13:11.243
locaties.176,POINT (777791.157201662 5909241.83891854),POINT (27365600 58735400),SCHANSKDP,HWS_DONAR_SGG,2021-03-11T15:13:31.345
locaties.177,POINT (781219.880702275 5914474.39424062),POINT (27725700 59246600),DOLLHZD,HWS_DONAR_SGG,2021-03-11T15:13:47.37
locaties.178,POINT (778811.417743009 5914563.53444227),POINT (27485400 59263600),HOOGZWT,HWS_DONAR_SGG,2021-03-11T15:13:54.12
